,youtube_score,youtube_length,youtube_minutes watched,youtube_avg watch,youtube_likes,youtube_dislikes,youtube_shares,youtube_comments,youtube_playlists,youtube_subscribers,is_hard_science,conversion,score,knowledge,science,narrative,charisma,fun,video_sound,slides,understanding,in_score,in_knowledge,in_science,in_narrative,in_charisma,in_fun,in_video_sound,in_slides,in_understanding,out_score,out_knowledge,out_science,out_narrative,out_charisma,out_fun,out_video_sound,out_slides,out_understanding
aids,22404978085,24.25,18377,31.94,59,14,25,34,25,4,1,25,3.875,4.0,4.375,4.125,3.625,3.375,3.75,2.625,4.125,4.25,4.25,4.25,4.0,4.25,3.75,4.25,2.75,3.75,3.5,3.75,4.5,4.25,3.0,3.0,3.25,2.5,4.5
antibiotics,1886228744,40.5,23286,29.5,34,0,21,1,55,8,1,15,4.333333333333333,4.0,4.5,4.666666666666667,3.5,3.3333333333333335,4.0,4.166666666666667,4.666666666666667,4.333333333333333,4.0,4.333333333333333,4.666666666666667,3.0,3.0,4.333333333333333,4.333333333333333,5.0,4.333333333333333,4.0,4.666666666666667,4.666666666666667,4.0,3.6666666666666665,3.6666666666666665,4.0,4.333333333333333
disney,4028976372,16.95,16053,40.59,59,8,18,3,31,5,0,31,3.9285714285714284,3.357142857142857,3.142857142857143,4.285714285714286,4.428571428571429,4.571428571428571,3.142857142857143,3.9285714285714284,4.071428571428571,3.6666666666666665,3.1666666666666665,2.6666666666666665,4.166666666666667,4.333333333333333,4.333333333333333,3.0,3.6666666666666665,3.6666666666666665,4.125,3.5,3.5,4.375,4.5,4.75,3.25,4.125,4.375
economics,192199137,21.1,9201,22.49,11,3,7,2,23,3,0,22,3.625,3.375,3.375,3.75,3.375,3.875,2.5,3.0,4.125,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.7142857142857144,3.7142857142857144,3.857142857142857,3.5714285714285716,4.142857142857143,2.4285714285714284,3.142857142857143,4.285714285714286
immortality,14224023462,16.48,14129,41.73,60,3,20,6,43,5,1,6,3.3333333333333335,4.333333333333333,4.0,3.0,3.0,3.3333333333333335,3.0,3.3333333333333335,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,3.5,3.5,4.0,3.5,4.0,4.0
monkey,421959601720,14.6,28712,33.78,183,7,45,8,60,35,1,27,4.583333333333333,4.5,4.5,4.166666666666667,4.0,4.166666666666667,4.416666666666667,4.083333333333333,4.333333333333333,4.5,4.666666666666667,4.833333333333333,4.0,3.8333333333333335,4.166666666666667,4.5,4.0,4.333333333333333,4.666666666666667,4.333333333333333,4.166666666666667,4.333333333333333,4.166666666666667,4.166666666666667,4.333333333333333,4.166666666666667,4.333333333333333
pain,70244311702,13.15,17374,41.55,77,3,16,9,63,15,1,31,3.8,3.8,4.266666666666667,4.066666666666666,4.133333333333334,3.6666666666666665,4.4,4.2,4.4,4.0,3.6666666666666665,4.666666666666667,4.333333333333333,4.333333333333333,3.3333333333333335,3.6666666666666665,3.6666666666666665,5.0,3.75,3.8333333333333335,4.166666666666667,4.0,4.083333333333333,3.75,4.583333333333333,4.333333333333333,4.25
vikings,10707407470,26.8,22393,40.68,89,1,15,6,49,3,0,13,4.0,4.0,3.8,4.0,4.2,3.8,2.8,3.6,4.6,4.25,4.5,4.0,4.5,4.5,4.25,2.75,3.75,4.75,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0
