"Timestamp","Какую лекцию вы посмотрели?","Как вам понравилась лекция","Лекция была познавательной? Вы узнали что-то новое и полезное?","Материал научный? Нет ли логических ошибок, есть ли данные экспериментов и исследований?  ","Как дела с повествованием? Рассказ складывается в целостную и гладкую историю?","Как вам кажется, лектор харизматичный? ","А что с развлекательность частью? Интересно ли слушать автора и вовлекаться в лекцию?","Оцените качество видео/звука в лекции","Оцените качество слайдов","Оцените, насколько лектор владеет материалом","Последний вопрос :) Вы сами из 15х4?"
"2017/08/15 12:04:30 AM GMT+3","15 минут о боли","4","5","4","5","4","4","4","4","5","Да, я в секте"
"2017/08/15 12:05:50 AM GMT+3","15 минут об антибиотиках","5","5","4","5","4","4","4","5","5","Да, я в секте"
"2017/08/15 9:50:07 AM GMT+3","15 минут о мультиках Дисней","4","3","4","4","4","4","4","4","5","Да, я в секте"
"2017/08/15 10:47:45 AM GMT+3","15 минут о мультиках Дисней","4","4","3","4","5","5","2","3","4","Да, я в секте"
"2017/08/15 12:32:27 PM GMT+3","15 минут об антибиотиках","5","4","5","5","4","4","5","4","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/16 8:34:22 PM GMT+3","15 минут об эволюционной экономике","3","3","3","3","3","2","2","4","3","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/16 9:19:41 PM GMT+3","15 минут о викингах","3","2","3","2","3","2","3","3","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/17 4:43:38 PM GMT+3","15 минут о боли","4","3","5","4","5","2","2","4","5","Да, я в секте"
"2017/08/17 9:09:23 PM GMT+3","15 минут о говорщих обезьянах","4","3","4","5","3","2","4","5","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/17 11:50:18 PM GMT+3","15 минут о ВИЧ-диссидентах","5","5","3","2","5","5","5","3","3","Да, я в секте"
"2017/08/18 2:12:03 PM GMT+3","15 минут об эволюционной экономике","4","4","4","4","3","5","2","3","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/18 3:13:58 PM GMT+3","15 минут о ВИЧ-диссидентах","4","2","4","4","3","4","4","3","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
